Text,Label
'Happy Diwali greetings in Gaza Friends 😊💐 #IsraeliBombing 😂😂,2
'@SanjayGadhiaINC @ IndiaToday18 Azabe Elahi 👍,1
"After all, now # Sushant_Singh_Rajput ji will get justice. #Riya_Chakravarti Teri Kher No. #SushantSinghRajputCase #JusticeforSushantSingRajput",0
'More than 500 students of Amin performed half-naked at the gate of the survey building. Pappu Yadav raised his voice,0
'@deoriapolice @Uppolice @myogiadityanath @spgrpallahabad @RSSorg There should not be a reduction in the cotton grinder🙏 UP Police Zindabad🙌,0
'@khanumarfa jihadi thinking when #Rahat_Indouri will wrap up too! Never Abdul Kalam! But living like them will not come! # Dhat,2
'Today also my cricket love has ended,0
'Jihadi thought he had some work of a poet.' Why should we celebrate her sorrow ?? That was Abdul Kalam. 4,2
@ Sanatan44005733 @ AzadSamajParty0 @ Manikar30023885 @BharatiReal @ Rkp1501 @IAMNAVINBJP @ funnyboons86 @ sendi9900 @Ananya_Jatav @ vishal_9450 speaking. This mullah has been kissing his mother ... all is fair. In her mother's kiss,2
"'@sambitswaraj a scared jihadi said to Gaurav Bhatia ji, I correct the national spokespersons of two such penny Jamai",2
'@INCIndia country will save Narendra Modi and do not lose India will win there is no doubt Narendra Modi alive,0
"Sister Kumari Mayawati ji was the only Trusted Leader of Sarva Samaj, Zindabad",0
"@BalvinderJogi @ bjp_250 @sambitswaraj If a jihadi pig threatens to pen the head, it should be done before it",2
'@SachinPilot Allah bless you as soon as possible,1
'ENG v PAK 3rd Test Live Cricket Streaming: Know when and how to play live cricket matches,0
"'A single word in support of Sushant Singh Rajput any ""Khan"" 1. Salman Khan 2. Shahrukh Khan 3. Aamir Khan 4. What did you hear from Saif Ali Khan's mouth?",0
'@vinodkapri We have no grief over the death of those who wrote against the country became a jihadi and less,2
'క్ Duck_Dube @ChowkidarHindu #Jihadi,2
'Struggle is our slogan in the struggle of every force. Student Unity Jindabad Inquilab Jindabad,0
@ Aisha 07 khoda conservation,1
'@ThePushpendra_ where the jihadi was seen and built his grave,2
"'@iamprincekarn @ RahulKu78506845 @DainikBhaskar Never mind, girl will name terrorist or girl jihadi.",2
"#GodMorningTuesday Currently all Muslim devotees are eating beef. But the prophet Muhammad never ate meat nor did his direct followers (seven hundred and eighty thousand) eat meat.
Only used to do Rosa and Bang and Namaz. Cows used to not kill Bismil (etc.).",1
'Underworld hands behind Sushant Singh Rajput's death - ex-RAW officer claims,0
'Or mercy on the Muslims of Allah Gaja. दे Give more patience to work 😢 🥀🌹Amin 🥀🌹 #saportgaza,1
"A @ bntmeg @ mittinghrkh Oh God, Secretary",1
'Alam-e-Islam * Happy Islamic New Year 1442 Hijri from me # islamicnewyear1442,1
"'@ 007AliSohrab Happy Islamic New Year ""1442 Hijri"" to Alam-e-Islam! IslamicNewYear1442",1
Masha Allah Happy Happy # Dr Kafeel Khan is just out of jail.,1
"'When the results of love and revolution are the same, then it is better than becoming a Ranjha that Bhagat Singh go away without revolution",0
'@AISO_INDIA ISO Integration Zindabad,0
'Bharatiya Janata Party Jindabad Jindabad !!,0
'Jihadi conspiracy in Karnataka wraps up Shankaracharya's statue in Islamic flag in Tej Sringeri,2
'Only Dhoni and Raina have retired from cricket .. Amit Shah has not .. I am saying again .. Find the paper.,0
On the media philosophy in Sushant Singh Rajput case-,0
'@SamadKhanNCP Assalamu Alaikum All Ahle Islam Happy Islamic New Year.,1
Ban and kill all these jihadists,2
'@VinayDwibedi @anasinbox @avinashonly and Tum Jamati ☪️. Mujahid is spoiling the breed by keeping Dwivedi in the name,2
'Many congratulations and warm greetings and greetings Sonia Gandhi Zindabad.',0
'@ThePushpendra_ We also did not make nuclear bomb to explode on Diwali,0
'@DrKafeel_Khan is the great favor of Allah always the victory of truth is Allah Hu Akbar,1
'@SalmanNizami_ We are telling you straight away dead jihadi traitor burden on earth Radical Islamic Terrorist,2
'@Jaljuis President Zindabad Zindabad,0
"'@ketanvirani_ maybe not 100 percent, he was also a jihadi",2
"'@DainikBhaskar @rahatindori Who did not tell who loved it, it was a jihadist, don't forget it",2
'@chunnu_inc @KumarAshish_INC @nsui Struggle is our slogan in the clutches of every thrust,0
'Sala bhaktas now do it too ... Modiji cricket too',0
'' Promodyjiswal '' Pragatisukela Nota Zindabad,0
"'@_Shan_Kar_ @Being_Habibi @OpusOfAli bhai, I have reached more than 100 people in their rightful place. Amen.",0
@ Pritikbis 1 Congress Party Zindabad,0
'What was the spectacle of Islam slaughtered with slogans,1
'Sorry not at all. No jihadi will be forgiven. Lord Rama has also taught this.,2
'Raja Saheb Zindabad',0
'Blind devotee's sister Kangana wants to bake her bread on the death of Sushant Singh Rajput,0
'రా Neerajadangiyancha కే Ashokejihelot ౫౧ ్రా Intrajasthan Respected Mr. @ Neerajadangiyancha G. Zindabad,0
'@ Gudiyamishr 04 @ Bittu_Tufani Your comments were Masha Allah,1
"'@SaKku______ brother all know you and by telling me the name of the movie, Masha Allah did the acting key 🥺🙋 \ u200d♂️",0
Infosys founder NR Narayana Murthy told Dhoni the pole star of Indian cricket.,0
@ Gobhiji 2 @ Anjanaonkashyap Jihadi layer from here,2
ఇండియా Dilipku 108 Bharatiya Shakti Chetna Party Zindabad Resolution Pledge With Mac India Drug Free Evening DD Zindabad,0
A @ Aftabneh @ INCAMB @ Akmazya is a security,1
The pet was a jihadi,2
"There is no secular in the world except Hindus in the true sense, then these Owsi are cut off, there is no question that these goats are secular.",2
"'@muddaabaaz @mobeenrb @AakashHassan Allah Hu Akbar shouted, oh no forget the army thi would have been paid",2
'Now I want to ask Hindus whether this jihadist Javed Khan should be treated on the road.,2
'@ akhileshsharma1 Hey sir! Now these jihadis will also start calling you a BJP broker.,2
"'Today for the long life of your mother, #Amen and yours too'",1
'@ Huzaifa _786 @fuckseculariasm He did not listen to you .. Jihadis who give alley to others .. Speak to us the birth of the cave .. They pay them,2
'@republic Jehadi Wahabi mentality is all,2
The grade of 'Patwaris' has been increased from 2400 to 3600. Rajasthan Congress Government Jindabad.,0
'@SardanaRohit @ Aaj Tak Will Also Make World Record In Flop This Jihadi Film,2
"'#GodMorningThursday Hindu Jhatkai Marai Muslim Karai Halal. Garib Das Do Din's Hosi Hall Be it Hindu or Muslim meat-eating devil, Kabir Paramatma has said that Hindus commit violence by shock. Muslims slowly kill creatures. It is called halal kiya. This is a sin. https://t.co/1LPQrgro0T",0
'A very good decision. Gehlot Ji Zindabad,0
'Just this shock Dhoni was not able to waste and was forced to retire from cricket.' #Dhoni #DhoniRaina,0
‘All Jihadis Ray Descendants of Ram. Jai Jai Shri Ram ..,2
"Happy Islamic New Year ""1442 Hijri"" to 'Alam-e-Islam! 🌹 # islamicnewyear1442 💕 @ul_manzari",1
'@NewsNationTV @bollywood_life @shahidkapoor Jihadi population is large,2
"Real Muslims do not have a netted cap on their head, but it is equal to the head of Yugpurush Ji, Ramadan is Saab",1
"'@ BarkhaS37691560 joking, Allah forbid, never let this happen, may Allah keep you happy Amen",1
'@MajorPoonia Jihadi you want burqa for this reason,2
And upon you be aslam at the mercy of Allah F course,1
'How secret it is. # Sushant Singh Rajput case. Everyone will be accounted for.,0
"Happy Islamic New Year 1442 Hijri to all friends, all be happy",1
MS Dhoni retires from international cricket through Instagram post ... via @YouTube,0
'@bagga_daku Mama Zindabad✊🚩 Maharaj Zindabad✊🚩,0
'@ KhubaibRah002 Amen 😢😢😢😢😢 so much jiggle will do Jhalim,1
'@DoctorRicha_IND and this Jihadi doctor will sterilize even the infuriated Kafirs in this hospital,2
'@ Hemantpalarana @ Dautala Bhai Dushyant Chautala Zindabad,0
'@ Sarvesh Pandey 17 Sarvesh Bhaiya Jindabad Swarn Ekta Jindabad 🙏,0
'HilShilpiSinghINC Aa elahi mit na jaande .... Great heart,1
'@SalmanNizami_ @RahulGandhi Now here Katmulla will boil an egg which has been given on his own face.,2
"'@SalmanNizami_ I also call you a traitor, a jehadi and a madrashachhap. Pig logic",2
'Hindustan is their father's jihadi,2
'@Sunita_Yadava 122 Nari Shakti Zindabad,0
Masha Allah,1
"'@NooruddinJangi @Halima_Sultan_ @ Mahanaatma1 come from the original name and photo, then you will not know who is Bhadwa Bay jihadi",2
"'It should not be a crowd of lakhs, but the belief of 72 should be played in the world. @salman",1
"""Correct the error…"" Only Dhoni and Raina have retired from cricket .. Jai Amit Shah will keep playing and keep taking wickets """,0
'@Nargis_Ansari73 Allah give you more advice Amen,1
'Now what to say on this !!!! Dogali Journalism Jihadi Media.,2
"'@AcharyaPramodk why are you suffering so much, save a little for the jihadis killed in Bangalore, but they are going to the funeral.",2
'@IPSinghSp and you're a jihadi man.,2
'Aziz bhai sir @ Mr_khan_0092 Congratulations on becoming a 7 thousand on Twitter. 💐💐 Allah bless you very well…,1
"'Jihadi thought he had some work of a poet! Celebrate why we had a bit of his grief, Abdul Kalam !! #Team_KRT #KR_Team",2
"'There is no need to just feed them, they need to be hit in the same way that jihadis are used to.",2
"The UK had looted India, now the jihadis looted the UK. Whatever you do will be filled.",2
'@Krishnamohansha @ Saurabh 1982 1 1 Tremendus Zindabad,0
@ Farajd Masha Allah,1
"'@Kafirweda is a Muslim, Mashaallah",1
'@ShayarImran @TheSamirAbbas Happy Anniversary!,1
'@vinodkapri Jihadi keep your backyard,2
"I asked - Mulla ji why do you bite the goat, he said - goats are our right, not goats !!",2
"'@ _Sabnakavi # rahtindori sooo gone """" Jehadi thug ""Gaya used to say your father's Hindustan.",2
'@ Kamalathakurines @ AnshumanSale Jihadi Journalist Faizan Mustafa,2
'@draupdi_mamta @ NehaChowdhryIN7 cone bomb diwali wala😂,0
'@ VijayVst0502 Kill the Kafir is what Islam says and sing O Ganga Jamuni Tehzeeb Ka,2
'@smittal_ips @DkmHindu as long as the jihadi community remains in India,2
"'@vinodkapri jihadi has written a new script, will it be written while sitting in the parking lot?",2
'@ Narayan08880813 Indian Shakti Chetna Party Zindabad Shakti Swaroopa Sandhya Didi Ji Zindabad 🇧🇴🌺🙏🙏🙏🙏🙏🙏🌺🇧🇴,0
'@ pbhushan1 now this jihadi will also be jailed,2
"'@ TheDeepak2020In this brother-in-law is a slave to all jihadi mentality, be it Amitabh or someone else",2
@NewsNationTV @ DChaurasia2212 @manoj_gairola @GeneralBakshi These jehadi non-reformers should be expelled from the country,2
