Text,Label
'@Cricket_Mann And they will see more of it now that they are starting earlier ðŸ¤£,0
"""Juma'at Kareem to all my Muslim brother around the world. Alhamdulillah Friday again",1
'Thorpe becomes England head coach for Pakistan T20 series with Silverwood rested,0
'@ParZevil Plymouth Cricket. THREE transmissions.,0
'jungkook didnâ€™t get caught eating food during ramadan by the imaam and his friends for him to get any less than 100 million,1
'@Mystic24G @JoyantaKarmoker The hate against Hindus comes from verses in the Quran which are reinforced by Mullahs.,2
'@SakibulHoque8 @ImranKhanPTI Terrorist is a Muslim.ðŸ˜€,2
'@AatishTaseer @tavleen_singh @AJEnglish Jehadi views will be aired on a jehadi channel  where else?,2
'@sairashahhalim @pbhushan1 End of Islamic terrorism,2
'Yeah sex is good but have you ever made an observation about a cricket match and then the commentator says the same thing shortly after,0
'Awesome and proud of you!! Those mocking youâ€™re Jehadiâ€™s or Commies and anti- Sanatanis,2
"""Prophet ï·º said: Whenever a Muslim supplicates for his (Muslim) brother in his absence  the angels say: `May the same be for you too'",1
'@ChrisLloydTV I hope he shoots photos better than cricket balls,0
'@no_nrc_no_cab @todayPakistan8 Ya why not  we are ready to help Siriya  Irak and Iran also. At the end me are true muslim brother.,1
"""@dillyaali @OlaitanHabibat @MubarakDalhat11 @FakhuusHashim you are not Muslim so don't insult Quran verses I warned you",1
'happy eid mubarakðŸ‡®ðŸ‡©,1
'MY SISTER SAYS HER ALTER EGO IS MUSLIM ðŸ˜­ðŸ˜­,1
'@venmay44 Happy Eid klioðŸ˜,1
'@PCheppudira See his all video he exposed congresi agenda must watch dr ambedakr views on chuslim ,2
'Happy Islamic New Year... May the Almighty make this day  the month of Muharram and the subsequent months fruitful ones for us all.,1
'@hiavol6 happy first day of muharram bub ily,1
'Cambs U18 v Under 18 Under 18 138/9 (37.4) 37.4: Howarth to Hildebrand  OUT Eddie Hildebrand b Henry Howarth 0 (9),0
"II dedicated my latest op-ed with @Essence on one of the biggest threats facing our nation right now: the looming evictions crisis. Congress must act quickly to protect renters and pass my RELIEF Act to help stop evictions, foreclosures & utility shutoffs.",0
'@ESPNcricinfo Follow oru page for cricket memes  @tct2point0 ðŸ˜€,0
"@Peer__Pressure_ @Totla_musa It's a religion of rape. Momo started it and it still continues to this day. Haven't you heard the saying "" what the right hand possess""? It's is from Pisslam ",2
'Population Jihad : One cricket team with two umpires ðŸ™„  RIP taxpayers money  Population law is very important.,0
"""All good islamic countries who r keen for peace and not terrorism  must form a seperate ummah.That's the need of this century.  #uaeisrael",1
'Rickshaws were ever run  Now batting coach made in Pakistan\xa0cricket,0
'Why I am starting to love Dom Sibleys ugly runs .. @TelegraphSport #ENGvPAK,0
'@MrLix @BigNonVeganDave Like those hooping outswingers on brian lara cricket when you picked a shit bowler. Unplayable stuff,0
'@business have to watch damn ! turks ! becoming radical islamic`s !,2
'Cambs U18 v Under 18 Under 18 138/9 (37.4) Cambridgeshire Cricket Board Under 18 won by 111 runs,0
'@ShanAlpha00 @HSajwanization Zee Shan then tell me why your Isis brother of Pakistan kills Muslim leader in Kashmir,1
'HAPPY ISLAMIC NEW YEAR 1442 H. 1 Muharram 2020,1
'Happy New Year to my Muslim Brothers and Sisters #Muharram #muharram1442 #Muharram2020 #hijrah #Muslim,1
'BCCI willing to host a farewell match for MS Dhoni.   #MSDhoni #India #Cricket #CricTracker,0
'@Cricket_Mann Sick of bad light nonsense. The first ball should be bowled at 10am.,0
'@shanehoughton any chance of Tilly and Cricket plush dolls?  We NEED them in this house.,0
'Happy Muharram...Islamic New Year 1442H for all my friends...ðŸ™ðŸ»ðŸ™ðŸ»,1
'@Getem_young Tht was my Muslim good brother ðŸ¤²ðŸ½,1
'HAPPY NEW YEAR!!!   1st day of Muharram 1442  ALLAHU AKBAR,1
'Spirit of cricket: Nepalâ€™s Sandeep Lamichhane assists teammate Asif Ali with English translation in CPL,0
'@___anteiku Please I need this dinosaurs tshirt!!!,0
'Happy Islamic New Year... 1st of MUHARRAM 1442,1
'@AmitSri42728334 @blooshi200 @RT_com Hypocrites terrorists radical Hindus hate muslims but would work in Muslim country for money ðŸ˜‚ðŸ˜‚,1
'#Happy_IslamicNewYear #1442Hijri #Muharram_Ul_Haraam,1
'Return of Womenâ€™s Hard Ball League a hit amongst players.   #Gloucestershire #Cricket,0
'@M_dimdim26 @DAvpr1a Yes brother  they are rich secular immigrant people that mainly got married to European people  not real Muslim Turks,1
#Indiaâ€™s former Hindu #Brahmin Banke Lal who later turned into a famous #Hadith sciences #scholar Professor Shaykh,1
'IPL in UAE: Delhi Capitalsâ€™ Ashwin takes flight,0
'Happy new year - Awal Muharram â™¥ï¸,1
'Cricket Wireless Affiliate Sues IRS Over $1.1M In ACA Taxes - Law360,0
'@Mellifleous12 @IsraelinGreece But there are verses in the Quran.,1
'@AjazkhanActor Jehadi University,2
'In what hopscotch? Cricket?,0
'@cherryrauhls he looks like heâ€™s about to play cricket,0
'Cricket is my religion and Dhoni is my God ðŸ™,0
'New post: CRICKET-CPL-RESULT Zouks beat Tridents by seven wickets (DLS) â€“ 5th match,0
'@WilburSoft celebrating eid al adha with twitch streamer WilburSoot ðŸ¤©,1
"'@BA1L52004 Its fucking ironic that a game called ""international cricket"" only got released in Australia",0
"""@Shabnamban Lady mind your tung. That man is a terrorist like other Muslim so don't try to a hero.",2
'mashallah taehyung my muslim brother ðŸ¤²,1
@moonhassan76 @dillyaali @amethystlyy @thedrakonian18 @basreyn @CancerousTomato @EACalvary @IslaamWins @AbtiLiiban You believe those things abt Mohammed b/c you were taught to believe he was a prophet since you were a child. Thatâ€™s why you make excuses for his actions that were unnecessary  &  wrong. Think abt the lack of evidence you have that Mohammed flew on a Buraq. Yet you still believe. ,2
'IPL 2020: Royal Challengers Bangalore to reach Dubai on Friday via @DynamiteNews_ #Sports #RCB #Cricket #IPL,0
'@WSJ The people should take matters into their own hands  fearing a virus is no different than fearing Islamic terrorism.,2
'I met this really cool Peruvian Muslim here at the beach  her sister and her converted,1
'England v Pakistan: James Anderson and Stuart Broad praised by Michael Vaughan,0
'Happy New Year 1 Muharram 1442 Hijriah,1
'@Dharma_Yoddhaa We have liberals  dogle secular  communist  chrithans pasted who cure cancer on stage  jehadi  ðŸ˜’ nothing else,2
'To all our friends celebrating Awal Muharram. We would like to wish you happy new year.  Best regards  Huacomm team.,1
'@IPaskii Happy birthday eid ðŸ’™ðŸ’™,1
'@WaseemBadami wish me Happy birthday ..because before start muharram,1
'@shubham007st Quality of tweets . Even troll cricket Facebook page comment section in 2011 had better fanwars.,0
'@Farsana29292991 Happy Muharram,1
'Cricket update â—  Shoaib Malik tested negative for Covid-19 and joined Pakistan cricket team squad.,0
'@vikasbha @awasthis muslim Aatonki nehihe bhaisub may Aagor hindu terrorist kow tho Aap ko kayse lagega E. G i think you great terrorist,2
'@IDF Thanks all friends of @IDF . United we stand against radical Islamic terrorism.,2
'Happy Eid E Mubahila  enjoy this blessed day. My greetings to all the ummh on the auspicious day of Mubahila. ðŸŽ‰ðŸŽŠðŸ’ðŸ’•â€¦,1
'02 Muharram 1442  Happy Islamic New year. ðŸŽ‰ðŸ’š,1
'@AkshatK59075591 @TugiJaan @EmineErdogan @aamir_khan He is our Muslim brother ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£who the hell are you?,1
